month,c3s_equivalent_gmsl_mm,sio_thermosteric_mm,sio_halosteric_mm,sio_totalsteric_mm,dmi_hadisst,csr_ocean_mass_reference_mm,noaa_topex_poseidon_mm,noaa_jason_1_mm,noaa_jason_2_mm,noaa_jason_3_mm,noaa_sentinel_6mf_mm,original_csr_ocean_mass_reference_mm,filled_csr_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2017-01,74.20159155734869,2.9765006620436907,-1.9669567700475454,2.7641088236123323,-0.0860000029206276,3.1265124369580573,nan,nan,54.21,54.26,nan,3.1265124369580573,3.1265124369580573,observed,observed,,
2017-02,70.27004274077872,3.79786710254848,-1.9016986479982734,3.6461905110627413,0.10100000351667404,nan,nan,nan,51.81333333333333,52.446666666666665,nan,nan,3.422193039444828,filled,SSA-filling-a,24,10
2017-03,68.9912223231565,5.939512979239225,-1.168966991826892,6.520736031234264,0.3569999933242798,4.760870576525472,nan,nan,54.945,54.99666666666667,nan,4.760870576525472,4.760870576525472,observed,observed,,
2017-04,68.92214375073637,8.908519521355629,-2.7808246668428183,7.880242541432381,0.49799999594688416,5.251652546534843,nan,nan,55.54,55.589999999999996,nan,5.251652546534843,5.251652546534843,observed,observed,,
2017-05,67.21095511952767,8.01824126392603,-2.887408947572112,6.887138355523348,0.5360000133514404,9.029972643050426,nan,nan,53.760000000000005,53.54666666666666,nan,9.029972643050426,9.029972643050426,observed,observed,,
2017-06,67.73332578284074,3.9370222948491573,-2.8970791026949883,2.7983642648905516,0.42399999499320984,12.25782199161123,nan,nan,nan,54.03666666666667,nan,12.25782199161123,12.25782199161123,observed,observed,,
2017-07,70.91238622021955,2.0653922110795975,-3.3718429040163755,0.451073661679402,0.5199999809265137,nan,nan,nan,nan,55.795,nan,nan,18.327749551039762,filled,SSA-filling-b,36,8
2017-08,75.83965296536621,-0.8498944225721061,-3.63894016481936,-2.7360732201486826,0.3490000069141388,nan,nan,nan,nan,55.29333333333333,nan,nan,20.849454560551266,filled,SSA-filling-b,36,8
2017-09,80.56698908641657,-1.3474184088408947,-3.015866270288825,-2.6134366635233164,0.03500000014901161,nan,nan,nan,nan,56.35999999999999,nan,nan,19.527045100633796,filled,SSA-filling-b,36,8
2017-10,84.71644459555503,1.719927997328341,-4.276032093912363,-0.8039695676416159,0.014999999664723873,nan,nan,nan,nan,55.92666666666667,nan,nan,15.739753832398545,filled,SSA-filling-b,36,8
2017-11,84.1317409190888,1.3323815073817968,-3.505981992930174,-0.41799244354479015,0.289000004529953,nan,nan,nan,nan,59.01666666666667,nan,nan,10.83926826814932,filled,SSA-filling-b,36,8
2017-12,81.88192052570773,-0.2265581424580887,-2.257421612739563,-0.7261349819600582,0.10999999940395355,nan,nan,nan,nan,57.54333333333333,nan,nan,6.289607407518194,filled,SSA-filling-b,36,8
2018-01,78.41487239648946,0.5755455349572003,-1.2596851447597146,1.0717513505369425,-0.20000000298023224,nan,nan,nan,nan,57.14666666666667,nan,nan,3.941475751649943,filled,SSA-filling-b,36,8
2018-02,74.57911483874128,3.882095916196704,-2.2297140676528215,3.4034389536827803,0.2160000056028366,nan,nan,nan,nan,55.65333333333333,nan,nan,4.011169221417489,filled,SSA-filling-b,36,8
2018-03,71.73088231559221,7.616836111992598,-2.080820268020034,7.290772162377834,-0.11999999731779099,nan,nan,nan,nan,57.03,nan,nan,4.688199605114082,filled,SSA-filling-b,36,8
2018-04,71.73681324739165,9.15971864014864,-2.6340046897530556,8.279896341264248,-0.08299999684095383,nan,nan,nan,nan,55.63,nan,nan,5.4296002032133615,filled,SSA-filling-b,36,8
2018-05,70.98122432706585,5.4710968397557735,-2.1507907658815384,5.075322464108467,0.12200000137090683,nan,nan,nan,nan,56.576666666666675,nan,nan,8.407866312314962,filled,SSA-filling-b,36,8
2018-06,71.36957787596563,4.329138435423374,-2.646585926413536,3.4404476173222065,0.1550000011920929,13.60518046552288,nan,nan,nan,56.76333333333333,nan,13.60518046552288,13.60518046552288,observed,observed,,
2018-07,74.46323278568293,1.5668687410652637,-2.7220395859330893,0.5992355872876942,0.05299999937415123,22.163499021435598,nan,nan,nan,58.21666666666667,nan,22.163499021435598,22.163499021435598,observed,observed,,
2018-08,78.48227967511605,-2.3023688700050116,-2.8132430743426085,-3.364484291523695,0.12099999934434891,nan,nan,nan,nan,57.51666666666667,nan,nan,24.046422687018108,filled,SSA-filling-a,24,10
2018-09,83.27722465388867,0.10111971641890705,-3.341027768328786,-1.4886504504829645,0.6039999723434448,nan,nan,nan,nan,59.19,nan,nan,22.485217634051423,filled,SSA-filling-a,24,10
2018-10,89.2078595178318,1.161076594144106,-2.806253032758832,0.10605894931359217,0.6840000152587891,18.89154401678833,nan,nan,nan,61.545,nan,18.89154401678833,18.89154401678833,observed,observed,,
2018-11,87.00907434134378,3.013916779309511,-3.246273146942258,1.5174283180385828,0.5,16.02562138878914,nan,nan,nan,59.36333333333334,nan,16.02562138878914,16.02562138878914,observed,observed,,
2018-12,83.70229624613113,6.0937111265957355,-2.021091990172863,5.827992223203182,0.3089999854564667,7.659005984251486,nan,nan,nan,59.470000000000006,nan,7.659005984251486,7.659005984251486,observed,observed,,
2019-01,80.68688870631448,7.266630418598652,-1.509095192886889,7.511895149946213,0.3869999945163727,9.773619644404157,nan,nan,nan,60.93,nan,9.773619644404157,9.773619644404157,observed,observed,,
2019-02,79.94009823678518,7.899093441665173,-1.5038424171507359,8.149352855980396,0.41600000858306885,8.036297131654438,nan,nan,nan,62.43333333333334,nan,8.036297131654438,8.036297131654438,observed,observed,,
2019-03,78.47123650902213,11.684809811413288,-0.7451788987964392,12.690318748354912,0.22499999403953552,10.768997458867677,nan,nan,nan,63.75,nan,10.768997458867677,10.768997458867677,observed,observed,,
